"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","919","CT05 - Informar usuario validado e nao informar a senha","chromium","Tue Mar 17 15:33:53 GMT-03:00 2026","passed","Tue Mar 17 15:33:54 GMT-03:00 2026","","login.spec.ts","",""
"","3628","CT01 - Clicar no botão ""Add to cart"" em um produto","firefox","Tue Mar 17 15:33:56 GMT-03:00 2026","passed","Tue Mar 17 15:34:00 GMT-03:00 2026","","inventario.spec.ts","",""
"","1243","CT03 - Informar usuario invalidado e senha valida","firefox","Tue Mar 17 15:34:05 GMT-03:00 2026","passed","Tue Mar 17 15:34:06 GMT-03:00 2026","","login.spec.ts","",""
"","4024","CT02 - Clicar no botão ""Remove"" em um produto adicionado no carrinho","firefox","Tue Mar 17 15:33:57 GMT-03:00 2026","passed","Tue Mar 17 15:34:01 GMT-03:00 2026","","inventario.spec.ts","",""
"","1001","CT04 - Deixar os campos de usuario e senha em branco","chromium","Tue Mar 17 15:33:53 GMT-03:00 2026","passed","Tue Mar 17 15:33:54 GMT-03:00 2026","","login.spec.ts","",""
"","1085","CT06 - Não informar o usuario e informar a senha correta","chromium","Tue Mar 17 15:33:54 GMT-03:00 2026","passed","Tue Mar 17 15:33:55 GMT-03:00 2026","","login.spec.ts","",""
"","1039","CT04 - Deixar os campos de usuario e senha em branco","webkit","Tue Mar 17 15:34:19 GMT-03:00 2026","passed","Tue Mar 17 15:34:20 GMT-03:00 2026","","login.spec.ts","",""
"","1691","CT03 - Clicar em ""add to cart"" em mais de um produto","webkit","Tue Mar 17 15:34:15 GMT-03:00 2026","passed","Tue Mar 17 15:34:17 GMT-03:00 2026","","inventario.spec.ts","",""
"","1235","CT02 - Informar usuario validado e senha invalida","firefox","Tue Mar 17 15:34:04 GMT-03:00 2026","passed","Tue Mar 17 15:34:05 GMT-03:00 2026","","login.spec.ts","",""
"","1692","CT01 - Clicar no botão ""Add to cart"" em um produto","webkit","Tue Mar 17 15:34:14 GMT-03:00 2026","passed","Tue Mar 17 15:34:15 GMT-03:00 2026","","inventario.spec.ts","",""
"","1083","CT03 - Informar usuario invalidado e senha valida","webkit","Tue Mar 17 15:34:19 GMT-03:00 2026","passed","Tue Mar 17 15:34:20 GMT-03:00 2026","","login.spec.ts","",""
"","1135","CT02 - Informar usuario validado e senha invalida","webkit","Tue Mar 17 15:34:18 GMT-03:00 2026","passed","Tue Mar 17 15:34:19 GMT-03:00 2026","","login.spec.ts","",""
"","1196","CT01 - Informar usuario e senha valido","webkit","Tue Mar 17 15:34:17 GMT-03:00 2026","passed","Tue Mar 17 15:34:18 GMT-03:00 2026","","login.spec.ts","",""
"","1175","CT03 - Clicar em ""add to cart"" em mais de um produto","chromium","Tue Mar 17 15:33:51 GMT-03:00 2026","passed","Tue Mar 17 15:33:52 GMT-03:00 2026","","inventario.spec.ts","",""
"","1099","CT02 - Informar usuario validado e senha invalida","chromium","Tue Mar 17 15:33:52 GMT-03:00 2026","passed","Tue Mar 17 15:33:53 GMT-03:00 2026","","login.spec.ts","",""
"","1236","CT06 - Não informar o usuario e informar a senha correta","webkit","Tue Mar 17 15:34:21 GMT-03:00 2026","passed","Tue Mar 17 15:34:22 GMT-03:00 2026","","login.spec.ts","",""
"","1558","CT04 - Deixar os campos de usuario e senha em branco","firefox","Tue Mar 17 15:34:06 GMT-03:00 2026","passed","Tue Mar 17 15:34:08 GMT-03:00 2026","","login.spec.ts","",""
"","936","CT01 - Informar usuario e senha valido","chromium","Tue Mar 17 15:33:51 GMT-03:00 2026","passed","Tue Mar 17 15:33:52 GMT-03:00 2026","","login.spec.ts","",""
"","1291","CT02 - Clicar no botão ""Remove"" em um produto adicionado no carrinho","chromium","Tue Mar 17 15:33:49 GMT-03:00 2026","passed","Tue Mar 17 15:33:50 GMT-03:00 2026","","inventario.spec.ts","",""
"","1225","CT01 - Informar usuario e senha valido","firefox","Tue Mar 17 15:34:02 GMT-03:00 2026","passed","Tue Mar 17 15:34:04 GMT-03:00 2026","","login.spec.ts","",""
"","1166","CT05 - Informar usuario validado e nao informar a senha","webkit","Tue Mar 17 15:34:20 GMT-03:00 2026","passed","Tue Mar 17 15:34:22 GMT-03:00 2026","","login.spec.ts","",""
"","2107","CT02 - Clicar no botão ""Remove"" em um produto adicionado no carrinho","webkit","Tue Mar 17 15:34:17 GMT-03:00 2026","passed","Tue Mar 17 15:34:19 GMT-03:00 2026","","inventario.spec.ts","",""
"","7006","CT03 - Clicar em ""add to cart"" em mais de um produto","firefox","Tue Mar 17 15:34:01 GMT-03:00 2026","passed","Tue Mar 17 15:34:08 GMT-03:00 2026","","inventario.spec.ts","",""
"","974","CT03 - Informar usuario invalidado e senha valida","chromium","Tue Mar 17 15:33:52 GMT-03:00 2026","passed","Tue Mar 17 15:33:53 GMT-03:00 2026","","login.spec.ts","",""
"","1817","CT05 - Informar usuario validado e nao informar a senha","firefox","Tue Mar 17 15:34:08 GMT-03:00 2026","passed","Tue Mar 17 15:34:10 GMT-03:00 2026","","login.spec.ts","",""
"","1164","CT06 - Não informar o usuario e informar a senha correta","firefox","Tue Mar 17 15:34:08 GMT-03:00 2026","passed","Tue Mar 17 15:34:09 GMT-03:00 2026","","login.spec.ts","",""
"","1234","CT01 - Clicar no botão ""Add to cart"" em um produto","chromium","Tue Mar 17 15:33:49 GMT-03:00 2026","passed","Tue Mar 17 15:33:50 GMT-03:00 2026","","inventario.spec.ts","",""
